id,fitted_entries,resolution,contourLevel,chain_id,chain_label,segment_overlap,segment_volume
10089,6s2f,5.8,0.05,B,4.0,0.38,97447
10188,6sgy,4.6,0.03,A,1.0,0.25,73211
10188,6sgy,4.6,0.03,B,2.0,0.25,73541
10246,6smu,5.0,0.0345,A,1.0,0.26,50244
10246,6smu,5.0,0.0345,B,2.0,0.28,49975
10246,6smu,5.0,0.0345,C,3.0,0.28,49758
10246,6smu,5.0,0.0345,D,4.0,0.27,49826
10246,6smu,5.0,0.0345,E,5.0,0.28,49868
10246,6smu,5.0,0.0345,F,6.0,0.27,49761
10247,6smx,6.65,0.0286,A,1.0,0.33,196011
10247,6smx,6.65,0.0286,B,2.0,0.38,82160
10247,6smx,6.65,0.0286,C,3.0,0.27,23216
10247,6smx,6.65,0.0286,D,4.0,0.37,58297
10247,6smx,6.65,0.0286,E,5.0,0.36,26390
10249,6sn2,9.5,0.012,A,1.0,0.43,278427
10249,6sn2,9.5,0.012,B,2.0,0.45,117694
10249,6sn2,9.5,0.012,C,3.0,0.32,40480
10249,6sn2,9.5,0.012,D,4.0,0.42,86338
10249,6sn2,9.5,0.012,E,5.0,0.47,41536
10250,6sn3,8.4,0.0127,A,1.0,0.39,255605
10250,6sn3,8.4,0.0127,B,2.0,0.42,106132
10250,6sn3,8.4,0.0127,C,3.0,0.31,34880
10250,6sn3,8.4,0.0127,D,4.0,0.43,81014
10250,6sn3,8.4,0.0127,E,5.0,0.38,35187
10251,6sn4,9.5,0.0119,A,1.0,0.42,280648
10251,6sn4,9.5,0.0119,B,2.0,0.45,117362
10251,6sn4,9.5,0.0119,C,3.0,0.33,42760
10251,6sn4,9.5,0.0119,D,4.0,0.42,87787
10251,6sn4,9.5,0.0119,E,5.0,0.47,41529
10252,6sn5,9.8,0.0111,A,1.0,0.46,287367
10252,6sn5,9.8,0.0111,B,2.0,0.48,121089
10252,6sn5,9.8,0.0111,C,3.0,0.39,45896
10252,6sn5,9.8,0.0111,D,4.0,0.46,91078
10252,6sn5,9.8,0.0111,E,5.0,0.51,43184
10253,6sn7,8.9,0.0118,A,1.0,0.44,262825
10253,6sn7,8.9,0.0118,B,2.0,0.46,110493
10253,6sn7,8.9,0.0118,C,3.0,0.32,38783
10253,6sn7,8.9,0.0118,D,4.0,0.44,81163
10253,6sn7,8.9,0.0118,E,5.0,0.46,37902
10254,6sn8,8.4,0.0113,A,1.0,0.47,248058
10254,6sn8,8.4,0.0113,B,2.0,0.5,104908
10254,6sn8,8.4,0.0113,C,3.0,0.41,34857
10254,6sn8,8.4,0.0113,D,4.0,0.49,75926
10254,6sn8,8.4,0.0113,E,5.0,0.51,35559
10255,6sn9,9.8,0.0106,A,1.0,0.5,288124
10255,6sn9,9.8,0.0106,B,2.0,0.5,122246
10255,6sn9,9.8,0.0106,C,3.0,0.4,44327
10255,6sn9,9.8,0.0106,D,4.0,0.49,91576
10255,6sn9,9.8,0.0106,E,5.0,0.52,44163
10269,6so8,9.8,0.0113,A,1.0,0.46,287235
10269,6so8,9.8,0.0113,B,2.0,0.47,121438
10269,6so8,9.8,0.0113,C,3.0,0.32,44267
10269,6so8,9.8,0.0113,D,4.0,0.43,90752
10269,6so8,9.8,0.0113,E,5.0,0.51,43026
10271,6sob,8.5,0.012,A,1.0,0.43,251940
10271,6sob,8.5,0.012,B,2.0,0.45,107713
10271,6sob,8.5,0.012,C,3.0,0.35,36858
10271,6sob,8.5,0.012,D,4.0,0.43,77919
10271,6sob,8.5,0.012,E,5.0,0.48,36029
10272,6soc,9.0,0.0106,A,1.0,0.51,262519
10272,6soc,9.0,0.0106,B,2.0,0.53,110290
10272,6soc,9.0,0.0106,C,3.0,0.41,39863
10272,6soc,9.0,0.0106,D,4.0,0.52,81605
10272,6soc,9.0,0.0106,E,5.0,0.56,38133
10274,6sog,8.3,0.0121,A,1.0,0.42,249576
10274,6sog,8.3,0.0121,B,2.0,0.45,105654
10274,6sog,8.3,0.0121,C,3.0,0.38,35598
10274,6sog,8.3,0.0121,D,4.0,0.44,76983
10274,6sog,8.3,0.0121,E,5.0,0.46,35160
10275,6soh,9.5,0.0122,A,1.0,0.41,279703
10275,6soh,9.5,0.0122,B,2.0,0.44,118109
10275,6soh,9.5,0.0122,C,3.0,0.33,42459
10275,6soh,9.5,0.0122,D,4.0,0.42,86929
10275,6soh,9.5,0.0122,E,5.0,0.42,40947
10392,6t7b,5.1,0.055,A,1.0,0.52,14502
10392,6t7b,5.1,0.055,B,2.0,0.5,12590
10392,6t7b,5.1,0.055,C,3.0,0.53,15648
10392,6t7b,5.1,0.055,D,4.0,0.44,13804
10392,6t7b,5.1,0.055,E,5.0,0.57,14316
10392,6t7b,5.1,0.055,F,6.0,0.53,12108
10392,6t7b,5.1,0.055,G,7.0,0.46,15607
10392,6t7b,5.1,0.055,H,8.0,0.43,13806
10392,6t7b,5.1,0.055,I,9.0,0.42,59980
10392,6t7b,5.1,0.055,J,10.0,0.45,59919
10392,6t7b,5.1,0.055,K,11.0,0.47,10920
10699,6y5j,5.6,0.6,A,1.0,0.46,71401
10699,6y5j,5.6,0.6,B,2.0,0.34,26893
10699,6y5j,5.6,0.6,C,3.0,0.5,71474
10699,6y5j,5.6,0.6,E,4.0,0.48,71368
10699,6y5j,5.6,0.6,D,5.0,0.35,26822
10699,6y5j,5.6,0.6,F,6.0,0.37,27074
11042,6z2k,4.5,0.01,C,1.0,0.55,68064
11042,6z2k,4.5,0.01,E,2.0,0.56,67959
11042,6z2k,4.5,0.01,K,3.0,0.57,68054
11042,6z2k,4.5,0.01,I,4.0,0.57,68076
11042,6z2k,4.5,0.01,A,5.0,0.56,14692
11042,6z2k,4.5,0.01,B,6.0,0.55,14493
11042,6z2k,4.5,0.01,G,7.0,0.56,14642
11042,6z2k,4.5,0.01,H,8.0,0.57,14534
11042,6z2k,4.5,0.01,F,9.0,0.57,33691
11042,6z2k,4.5,0.01,D,10.0,0.56,33600
11042,6z2k,4.5,0.01,L,11.0,0.54,33649
11042,6z2k,4.5,0.01,J,12.0,0.54,33665
11190,6zg0,7.7,0.35,A,1.0,0.21,49829
11190,6zg0,7.7,0.35,B,2.0,0.19,55802
11190,6zg0,7.7,0.35,C,3.0,0.21,52453
11190,6zg0,7.7,0.35,D,4.0,0.21,50544
11190,6zg0,7.7,0.35,E,5.0,0.21,51494
11190,6zg0,7.7,0.35,F,6.0,0.21,50575
11190,6zg0,7.7,0.35,G,7.0,0.21,50325
11190,6zg0,7.7,0.35,H,8.0,0.21,50155
11277,6zm1,4.7,0.028,A,1.0,0.35,108699
11277,6zm1,4.7,0.028,B,2.0,0.36,186048
11277,6zm1,4.7,0.028,C,3.0,0.37,104784
11277,6zm1,4.7,0.028,D,4.0,0.36,159602
11688,7a98,5.4,0.2,A,1.0,0.61,249515
11688,7a98,5.4,0.2,D,2.0,0.64,133889
11688,7a98,5.4,0.2,E,3.0,0.63,133849
11688,7a98,5.4,0.2,F,4.0,0.65,133865
11688,7a98,5.4,0.2,B,5.0,0.62,249452
11688,7a98,5.4,0.2,C,6.0,0.62,249378
11837,7ao8,4.5,0.01,C,1.0,0.11,12483
11837,7ao8,4.5,0.01,D,2.0,0.54,57089
11837,7ao8,4.5,0.01,A,3.0,0.52,57086
11837,7ao8,4.5,0.01,E,4.0,0.61,67939
11837,7ao8,4.5,0.01,B,5.0,0.6,67951
11838,7ao9,6.1,0.014,C,1.0,0.15,18031
11838,7ao9,6.1,0.014,D,2.0,0.48,49920
11838,7ao9,6.1,0.014,E,3.0,0.49,85950
11838,7ao9,6.1,0.014,A,4.0,0.45,49949
11838,7ao9,6.1,0.014,B,5.0,0.49,85942
12051,7b5y,7.1,0.0232,C,1.0,0.25,70440
12051,7b5y,7.1,0.0232,A,2.0,0.27,70442
12051,7b5y,7.1,0.0232,B,3.0,0.28,70981
12051,7b5y,7.1,0.0232,D,4.0,0.23,70880
12051,7b5y,7.1,0.0232,E,5.0,0.31,48361
12051,7b5y,7.1,0.0232,F,6.0,0.33,47770
12312,7ngc,7.5,0.26,A,1.0,0.49,247414
12312,7ngc,7.5,0.26,B,2.0,0.5,250145
12312,7ngc,7.5,0.26,C,3.0,0.5,250082
12312,7ngc,7.5,0.26,D,4.0,0.52,246045
12312,7ngc,7.5,0.26,E,5.0,0.51,246857
12312,7ngc,7.5,0.26,F,6.0,0.5,249370
12312,7ngc,7.5,0.26,G,7.0,0.39,13556
12363,7nir,6.7,0.601,A,1.0,0.33,210829
12363,7nir,6.7,0.601,B,2.0,0.36,204038
12363,7nir,6.7,0.601,C,3.0,0.34,83686
12363,7nir,6.7,0.601,E,4.0,0.23,8738
12363,7nir,6.7,0.601,D,5.0,0.48,14688
12363,7nir,6.7,0.601,F,6.0,0.36,28400
13073,7ou2,4.8,0.0665,A,1.0,0.58,143694
13073,7ou2,4.8,0.0665,B,2.0,0.64,128663
13116,7oyg,5.5,0.5,A,1.0,0.66,178639
13116,7oyg,5.5,0.5,B,2.0,0.46,20543
13116,7oyg,5.5,0.5,C,3.0,0.35,15530
13116,7oyg,5.5,0.5,P,4.0,0.79,7705
13116,7oyg,5.5,0.5,T,5.0,0.83,9381
13116,7oyg,5.5,0.5,D,6.0,0.66,178626
13116,7oyg,5.5,0.5,E,7.0,0.41,20520
13116,7oyg,5.5,0.5,F,8.0,0.31,15523
13116,7oyg,5.5,0.5,G,9.0,0.64,7716
13116,7oyg,5.5,0.5,H,10.0,0.88,9386
13187,7p3x,9.1,0.015,A,1.0,0.22,202600
13187,7p3x,9.1,0.015,B,2.0,0.3,204013
13187,7p3x,9.1,0.015,S,3.0,0.18,64881
13187,7p3x,9.1,0.015,M,4.0,0.31,139636
13319,7pcf,5.82,0.01,A,1.0,0.5,27064
13319,7pcf,5.82,0.01,B,2.0,0.49,28257
13319,7pcf,5.82,0.01,E,3.0,0.54,66959
13319,7pcf,5.82,0.01,F,4.0,0.54,66715
13365,7pf2,5.1,0.0215,K,1.0,0.44,25520
13365,7pf2,5.1,0.0215,L,2.0,0.37,20848
13365,7pf2,5.1,0.0215,M,3.0,0.35,26731
13365,7pf2,5.1,0.0215,N,4.0,0.33,23886
13365,7pf2,5.1,0.0215,O,5.0,0.41,25647
13365,7pf2,5.1,0.0215,P,6.0,0.47,20909
13365,7pf2,5.1,0.0215,Q,7.0,0.43,26896
13365,7pf2,5.1,0.0215,R,8.0,0.4,23832
13365,7pf2,5.1,0.0215,A,9.0,0.39,25455
13365,7pf2,5.1,0.0215,B,10.0,0.4,20887
13365,7pf2,5.1,0.0215,C,11.0,0.44,26563
13365,7pf2,5.1,0.0215,D,12.0,0.37,23565
13365,7pf2,5.1,0.0215,E,13.0,0.4,25617
13365,7pf2,5.1,0.0215,F,14.0,0.39,20895
13365,7pf2,5.1,0.0215,G,15.0,0.34,26691
13365,7pf2,5.1,0.0215,H,16.0,0.33,23451
13365,7pf2,5.1,0.0215,U,17.0,0.37,16908
13365,7pf2,5.1,0.0215,I,18.0,0.42,211105
13365,7pf2,5.1,0.0215,J,19.0,0.43,212754
13371,7pfc,6.4,0.043,A,1.0,0.63,34376
13371,7pfc,6.4,0.043,B,2.0,0.48,28076
13371,7pfc,6.4,0.043,C,3.0,0.52,36387
13371,7pfc,6.4,0.043,D,4.0,0.48,31804
13371,7pfc,6.4,0.043,E,5.0,0.59,34426
13371,7pfc,6.4,0.043,F,6.0,0.57,28334
13371,7pfc,6.4,0.043,G,7.0,0.44,36657
13371,7pfc,6.4,0.043,H,8.0,0.4,32031
13371,7pfc,6.4,0.043,J,9.0,0.55,302224
13371,7pfc,6.4,0.043,I,10.0,0.55,298870
13371,7pfc,6.4,0.043,U,11.0,0.41,21836
13371,7pfc,6.4,0.043,K,12.0,0.58,34067
13371,7pfc,6.4,0.043,L,13.0,0.62,28178
13371,7pfc,6.4,0.043,M,14.0,0.56,36354
13371,7pfc,6.4,0.043,N,15.0,0.52,32133
13371,7pfc,6.4,0.043,O,16.0,0.58,34428
13371,7pfc,6.4,0.043,P,17.0,0.46,28213
13371,7pfc,6.4,0.043,Q,18.0,0.41,36704
13371,7pfc,6.4,0.043,R,19.0,0.47,31865
13378,7pfp,6.1,0.006,A,1.0,0.72,154074
13378,7pfp,6.1,0.006,B,2.0,0.79,42533
13378,7pfp,6.1,0.006,C,3.0,0.73,112506
13380,7pfu,5.0,0.0436,A,1.0,0.56,24600
13380,7pfu,5.0,0.0436,B,2.0,0.52,20192
13380,7pfu,5.0,0.0436,C,3.0,0.57,25941
13380,7pfu,5.0,0.0436,D,4.0,0.53,22779
13380,7pfu,5.0,0.0436,E,5.0,0.65,24724
13380,7pfu,5.0,0.0436,F,6.0,0.63,20445
13380,7pfu,5.0,0.0436,G,7.0,0.52,26202
13380,7pfu,5.0,0.0436,H,8.0,0.46,22836
13380,7pfu,5.0,0.0436,U,9.0,0.44,16197
13380,7pfu,5.0,0.0436,K,10.0,0.62,24584
13380,7pfu,5.0,0.0436,L,11.0,0.64,20159
13380,7pfu,5.0,0.0436,M,12.0,0.58,26086
13380,7pfu,5.0,0.0436,N,13.0,0.5,22855
13380,7pfu,5.0,0.0436,O,14.0,0.57,24767
13380,7pfu,5.0,0.0436,P,15.0,0.49,20243
13380,7pfu,5.0,0.0436,Q,16.0,0.52,26126
13380,7pfu,5.0,0.0436,R,17.0,0.5,22636
13380,7pfu,5.0,0.0436,I,18.0,0.58,211126
13380,7pfu,5.0,0.0436,J,19.0,0.57,212661
13380,7pfu,5.0,0.0436,S,20.0,0.56,16137
13386,7pg2,6.7,0.125,A,1.0,0.45,212661
13386,7pg2,6.7,0.125,B,2.0,0.48,229472
13386,7pg2,6.7,0.125,C,3.0,0.71,8308
13386,7pg2,6.7,0.125,D,4.0,0.54,11089
13386,7pg2,6.7,0.125,E,5.0,0.62,8455
13386,7pg2,6.7,0.125,F,6.0,0.31,9558
13386,7pg2,6.7,0.125,I,7.0,0.19,8306
13386,7pg2,6.7,0.125,J,8.0,0.1,9616
13387,7pg3,7.3,0.125,A,1.0,0.51,232744
13387,7pg3,7.3,0.125,B,2.0,0.51,246384
13387,7pg3,7.3,0.125,C,3.0,0.82,9762
13387,7pg3,7.3,0.125,D,4.0,0.68,12402
13387,7pg3,7.3,0.125,E,5.0,0.65,10156
13387,7pg3,7.3,0.125,F,6.0,0.26,11064
13387,7pg3,7.3,0.125,I,7.0,0.44,9930
13387,7pg3,7.3,0.125,J,8.0,0.24,11262
13388,7pg4,9.1,0.125,A,1.0,0.41,285593
13388,7pg4,9.1,0.125,B,2.0,0.45,299900
13388,7pg4,9.1,0.125,C,3.0,0.66,13468
13388,7pg4,9.1,0.125,D,4.0,0.49,17500
13388,7pg4,9.1,0.125,I,5.0,0.13,14326
13388,7pg4,9.1,0.125,J,6.0,0.12,15311
13442,7pim,4.6,0.0042,B,1.0,0.62,65759
13442,7pim,4.6,0.0042,G,2.0,0.51,3916
13442,7pim,4.6,0.0042,A,3.0,0.62,65778
13442,7pim,4.6,0.0042,C,4.0,0.53,3949
13442,7pim,4.6,0.0042,D,5.0,0.62,65821
13442,7pim,4.6,0.0042,E,6.0,0.44,3911
13442,7pim,4.6,0.0042,F,7.0,0.62,65853
13442,7pim,4.6,0.0042,H,8.0,0.49,3935
13826,7q55,5.7,0.012,O,1.0,0.54,74523
13826,7q55,5.7,0.012,P,2.0,0.62,67541
13826,7q55,5.7,0.012,Q,3.0,0.52,74969
13826,7q55,5.7,0.012,R,4.0,0.58,67744
13826,7q55,5.7,0.012,A,5.0,0.55,74863
13826,7q55,5.7,0.012,B,6.0,0.61,67123
13826,7q55,5.7,0.012,C,7.0,0.53,75484
13826,7q55,5.7,0.012,D,8.0,0.58,67279
13826,7q55,5.7,0.012,E,9.0,0.56,74911
13826,7q55,5.7,0.012,F,10.0,0.62,67418
13826,7q55,5.7,0.012,G,11.0,0.52,74154
13826,7q55,5.7,0.012,H,12.0,0.58,67688
13826,7q55,5.7,0.012,I,13.0,0.54,75378
13826,7q55,5.7,0.012,J,14.0,0.63,67172
13826,7q55,5.7,0.012,K,15.0,0.52,75747
13826,7q55,5.7,0.012,L,16.0,0.6,67291
13827,7q56,7.1,0.0125,I,1.0,0.48,91920
13827,7q56,7.1,0.0125,J,2.0,0.53,80780
13827,7q56,7.1,0.0125,K,3.0,0.49,91205
13827,7q56,7.1,0.0125,L,4.0,0.52,81093
13827,7q56,7.1,0.0125,A,5.0,0.48,91617
13827,7q56,7.1,0.0125,B,6.0,0.55,80776
13827,7q56,7.1,0.0125,C,7.0,0.48,90765
13827,7q56,7.1,0.0125,D,8.0,0.55,80750
13827,7q56,7.1,0.0125,Q,9.0,0.48,91826
13827,7q56,7.1,0.0125,R,10.0,0.53,81797
13827,7q56,7.1,0.0125,O,11.0,0.5,91119
13827,7q56,7.1,0.0125,P,12.0,0.53,80531
13827,7q56,7.1,0.0125,G,13.0,0.5,91292
13827,7q56,7.1,0.0125,H,14.0,0.53,82518
13827,7q56,7.1,0.0125,E,15.0,0.49,91304
13827,7q56,7.1,0.0125,F,16.0,0.55,79887
14342,7ywh,8.0,0.79,A,1.0,0.2,71793
14342,7ywh,8.0,0.79,B,2.0,0.22,66501
14342,7ywh,8.0,0.79,C,3.0,0.21,66135
14342,7ywh,8.0,0.79,D,4.0,0.17,70358
14342,7ywh,8.0,0.79,E,5.0,0.16,70785
14342,7ywh,8.0,0.79,F,6.0,0.19,71721
14343,7ywi,8.0,0.79,A,1.0,0.34,69141
14343,7ywi,8.0,0.79,B,2.0,0.36,67712
14343,7ywi,8.0,0.79,C,3.0,0.36,67253
14343,7ywi,8.0,0.79,D,4.0,0.37,67611
14343,7ywi,8.0,0.79,E,5.0,0.35,69324
14343,7ywi,8.0,0.79,F,6.0,0.35,68469
14344,7ywl,8.0,0.79,A,1.0,0.35,67125
14344,7ywl,8.0,0.79,B,2.0,0.33,68041
14344,7ywl,8.0,0.79,C,3.0,0.35,66145
14344,7ywl,8.0,0.79,D,4.0,0.34,68437
14344,7ywl,8.0,0.79,E,5.0,0.32,70780
14344,7ywl,8.0,0.79,F,6.0,0.33,68159
14345,7ywn,8.0,0.79,A,1.0,0.36,68210
14345,7ywn,8.0,0.79,B,2.0,0.34,66834
14345,7ywn,8.0,0.79,C,3.0,0.36,66295
14345,7ywn,8.0,0.79,D,4.0,0.36,68020
14345,7ywn,8.0,0.79,E,5.0,0.34,68816
14345,7ywn,8.0,0.79,F,6.0,0.36,67923
14346,7ywo,8.0,0.79,A,1.0,0.34,68082
14346,7ywo,8.0,0.79,B,2.0,0.34,67249
14346,7ywo,8.0,0.79,C,3.0,0.33,66565
14346,7ywo,8.0,0.79,D,4.0,0.33,69136
14346,7ywo,8.0,0.79,E,5.0,0.31,69599
14346,7ywo,8.0,0.79,F,6.0,0.36,66977
15221,8a7e,5.02,1.7,P,1.0,0.85,35022
15221,8a7e,5.02,1.7,C,2.0,0.86,307365
15221,8a7e,5.02,1.7,A,3.0,0.86,35201
15221,8a7e,5.02,1.7,Q,4.0,0.86,307295
15575,8apm,6.6,0.005,A,1.0,0.67,95739
15575,8apm,6.6,0.005,E,2.0,0.57,120256
15575,8apm,6.6,0.005,D,3.0,0.61,120287
15575,8apm,6.6,0.005,B,4.0,0.68,120220
15575,8apm,6.6,0.005,C,5.0,0.66,120213
15575,8apm,6.6,0.005,F,6.0,0.64,95797
15575,8apm,6.6,0.005,X,7.0,0.57,8221
15575,8apm,6.6,0.005,Y,8.0,0.72,8412
15668,8atx,7.0,0.0035,A,1.0,0.4,764811
15668,8atx,7.0,0.0035,B,2.0,0.39,764842
16914,8ojj,5.47,0.27,A,1.0,0.27,30249
16914,8ojj,5.47,0.27,B,2.0,0.28,30256
16914,8ojj,5.47,0.27,C,3.0,0.28,30243
16914,8ojj,5.47,0.27,D,4.0,0.29,30256
20437,6ppi,4.7,0.0145,A,1.0,0.16,90013
20437,6ppi,4.7,0.0145,B,2.0,0.16,90126
20437,6ppi,4.7,0.0145,C,3.0,0.16,90127
20437,6ppi,4.7,0.0145,D,4.0,0.16,90127
20437,6ppi,4.7,0.0145,E,5.0,0.16,90102
20437,6ppi,4.7,0.0145,F,6.0,0.16,90167
20437,6ppi,4.7,0.0145,G,7.0,0.16,90176
20437,6ppi,4.7,0.0145,H,8.0,0.16,90072
20437,6ppi,4.7,0.0145,I,9.0,0.16,90027
20437,6ppi,4.7,0.0145,J,10.0,0.16,90057
20437,6ppi,4.7,0.0145,K,11.0,0.16,90080
20437,6ppi,4.7,0.0145,L,12.0,0.16,90075
20495,6pvo,5.18,0.0148,A,1.0,0.27,153236
20495,6pvo,5.18,0.0148,B,2.0,0.27,153170
20495,6pvo,5.18,0.0148,C,3.0,0.27,153238
20495,6pvo,5.18,0.0148,D,4.0,0.27,153199
20613,6u1s,7.6,0.009,A,1.0,0.34,100218
20613,6u1s,7.6,0.009,B,2.0,0.34,100249
20613,6u1s,7.6,0.009,D,3.0,0.35,100245
20613,6u1s,7.6,0.009,F,4.0,0.35,100253
20613,6u1s,7.6,0.009,H,5.0,0.34,100245
20613,6u1s,7.6,0.009,J,6.0,0.33,100254
20613,6u1s,7.6,0.009,L,7.0,0.33,100230
20613,6u1s,7.6,0.009,N,8.0,0.33,100247
20664,6u6e,6.3,0.008,A,1.0,0.39,64890
20664,6u6e,6.3,0.008,D,2.0,0.4,65129
20664,6u6e,6.3,0.008,B,3.0,0.39,68194
20664,6u6e,6.3,0.008,C,4.0,0.39,65080
20664,6u6e,6.3,0.008,H,5.0,0.41,47460
20664,6u6e,6.3,0.008,G,6.0,0.42,47521
20664,6u6e,6.3,0.008,F,7.0,0.4,47470
20664,6u6e,6.3,0.008,E,8.0,0.41,47498
20665,6u6h,5.0,0.008,A,1.0,0.45,48772
20665,6u6h,5.0,0.008,C,2.0,0.44,48753
20665,6u6h,5.0,0.008,B,3.0,0.44,48818
20665,6u6h,5.0,0.008,D,4.0,0.44,48852
20665,6u6h,5.0,0.008,H,5.0,0.47,35985
20665,6u6h,5.0,0.008,G,6.0,0.48,35998
20665,6u6h,5.0,0.008,F,7.0,0.48,35951
20665,6u6h,5.0,0.008,E,8.0,0.49,35934
20689,6u8q,4.67,0.009,A,1.0,0.53,57389
20689,6u8q,4.67,0.009,B,2.0,0.5,55730
20689,6u8q,4.67,0.009,E,3.0,0.65,14007
20689,6u8q,4.67,0.009,F,4.0,0.64,12907
20689,6u8q,4.67,0.009,C,5.0,0.52,57374
20689,6u8q,4.67,0.009,D,6.0,0.5,55481
20689,6u8q,4.67,0.009,G,7.0,0.66,14025
20689,6u8q,4.67,0.009,H,8.0,0.62,12996
20689,6u8q,4.67,0.009,I,9.0,0.5,44680
20689,6u8q,4.67,0.009,J,10.0,0.52,44419
20689,6u8q,4.67,0.009,K,11.0,0.46,29399
20689,6u8q,4.67,0.009,L,12.0,0.46,29262
20689,6u8q,4.67,0.009,M,13.0,0.25,41517
20689,6u8q,4.67,0.009,N,14.0,0.07,29107
20689,6u8q,4.67,0.009,O,15.0,0.06,28843
20689,6u8q,4.67,0.009,P,16.0,0.25,40824
20916,6uvt,7.5,0.00568,A,1.0,0.42,45432
20916,6uvt,7.5,0.00568,K,2.0,0.41,45445
20916,6uvt,7.5,0.00568,L,3.0,0.43,45437
20916,6uvt,7.5,0.00568,B,4.0,0.42,45404
20916,6uvt,7.5,0.00568,H,5.0,0.41,45466
20916,6uvt,7.5,0.00568,C,6.0,0.42,45442
20916,6uvt,7.5,0.00568,I,7.0,0.42,45462
20916,6uvt,7.5,0.00568,D,8.0,0.41,45466
20916,6uvt,7.5,0.00568,J,9.0,0.43,45445
20916,6uvt,7.5,0.00568,E,10.0,0.43,45464
20916,6uvt,7.5,0.00568,F,11.0,0.42,45470
20916,6uvt,7.5,0.00568,G,12.0,0.42,45463
20930,6ux7,6.7,0.004,A,1.0,0.48,69526
20930,6ux7,6.7,0.004,E,2.0,0.48,50824
20930,6ux7,6.7,0.004,C,3.0,0.49,69567
20930,6ux7,6.7,0.004,G,4.0,0.5,50862
20930,6ux7,6.7,0.004,B,5.0,0.48,69472
20930,6ux7,6.7,0.004,F,6.0,0.47,50663
20930,6ux7,6.7,0.004,D,7.0,0.49,69473
20930,6ux7,6.7,0.004,H,8.0,0.47,50662
20931,6uxa,4.5,0.005,A,1.0,0.47,41935
20931,6uxa,4.5,0.005,E,2.0,0.54,31026
20931,6uxa,4.5,0.005,C,3.0,0.5,41933
20931,6uxa,4.5,0.005,G,4.0,0.52,31044
20931,6uxa,4.5,0.005,B,5.0,0.48,41952
20931,6uxa,4.5,0.005,F,6.0,0.51,30957
20931,6uxa,4.5,0.005,D,7.0,0.49,41956
20931,6uxa,4.5,0.005,H,8.0,0.51,30988
20932,6uxb,4.9,0.006,A,1.0,0.49,46905
20932,6uxb,4.9,0.006,E,2.0,0.54,34592
20932,6uxb,4.9,0.006,C,3.0,0.48,46836
20932,6uxb,4.9,0.006,G,4.0,0.54,34650
20932,6uxb,4.9,0.006,B,5.0,0.49,46860
20932,6uxb,4.9,0.006,F,6.0,0.54,34535
20932,6uxb,4.9,0.006,D,7.0,0.49,46857
20932,6uxb,4.9,0.006,H,8.0,0.54,34508
21151,6vdk,4.5,0.009,A,1.0,0.48,53899
21151,6vdk,4.5,0.009,B,2.0,0.48,52471
21151,6vdk,4.5,0.009,C,3.0,0.5,54021
21151,6vdk,4.5,0.009,D,4.0,0.46,52079
21151,6vdk,4.5,0.009,E,5.0,0.6,13907
21151,6vdk,4.5,0.009,F,6.0,0.55,12973
21151,6vdk,4.5,0.009,G,7.0,0.64,13912
21151,6vdk,4.5,0.009,H,8.0,0.53,12980
21151,6vdk,4.5,0.009,I,9.0,0.53,12493
